menu_id,r_id,f_id,cuisine,price
mn0,567335,fd0,"Beverages,Pizzas",40
mn0,567335,fd669322,"Beverages,Pizzas",40
mn328,158203,fd0,Beverages,65
mn328,158203,fd669322,Beverages,65
mn449,158203,fd0,Beverages,65
mn449,158203,fd669322,Beverages,65
mn729,158204,fd0,Continental,60
mn729,158204,fd669322,Continental,60
mn755,158204,fd0,Continental,60
mn755,158204,fd669322,Continental,60
mn967,407249,fd0,"Juices,Beverages",52
mn967,407249,fd669322,"Juices,Beverages",52
mn1522,257181,fd0,Indian,30
mn1522,257181,fd669322,Indian,30
mn1848,435582,fd0,"Pizzas,Beverages",55
mn1848,435582,fd669322,"Pizzas,Beverages",55
mn2023,382204,fd0,"Chinese,Pizzas",60
mn2023,382204,fd669322,"Chinese,Pizzas",60
mn3143,459775,fd0,"Beverages,Pizzas",49
mn3143,459775,fd669322,"Beverages,Pizzas",49
mn3568,187915,fd0,"North Indian,Fast Food",45
mn3568,187915,fd669322,"North Indian,Fast Food",45
mn3574,187915,fd0,"North Indian,Fast Food",45
mn3574,187915,fd669322,"North Indian,Fast Food",45
mn14454,263185,fd0,"Bakery,Beverages",179
mn14454,263185,fd669322,"Bakery,Beverages",179
mn14622,263185,fd0,"Bakery,Beverages",179
mn14622,263185,fd669322,"Bakery,Beverages",179
mn14909,109549,fd0,"Bakery,Pizzas",240
mn14909,109549,fd669322,"Bakery,Pizzas",240
mn16906,447526,fd0,"Pizzas,Pastas",99
mn16906,447526,fd669322,"Pizzas,Pastas",99
mn21188,186264,fd0,"Pizzas,Snacks",129
mn21188,186264,fd669322,"Pizzas,Snacks",129
mn21230,186264,fd0,"Pizzas,Snacks",129
mn21230,186264,fd669322,"Pizzas,Snacks",129
mn21890,153339,fd0,"Indian,Chinese",249
mn21890,153339,fd669322,"Indian,Chinese",249
mn30897,547588,fd0,"Beverages,Fast Food",55
mn30897,547588,fd669322,"Beverages,Fast Food",55
mn31752,300380,fd0,"Burgers,Street Food",54
mn31752,300380,fd669322,"Burgers,Street Food",54
mn31764,300380,fd0,"Burgers,Street Food",54
mn31764,300380,fd669322,"Burgers,Street Food",54
mn33507,302166,fd0,"Pizzas,Burgers",54
mn33507,302166,fd669322,"Pizzas,Burgers",54
mn35818,394135,fd0,"North Indian,Lucknowi",55
mn35818,394135,fd669322,"North Indian,Lucknowi",55
mn36168,553063,fd0,"Fast Food,Pizzas",45
mn36168,553063,fd669322,"Fast Food,Pizzas",45
mn36268,553063,fd0,"Fast Food,Pizzas",45
mn36268,553063,fd669322,"Fast Food,Pizzas",45
mn39816,183499,fd0,"Indian,Chinese",159
mn39816,183499,fd669322,"Indian,Chinese",159
mn49170,354337,fd0,"American,Pizzas",279
mn49170,354337,fd669322,"American,Pizzas",279
mn59899,381622,fd0,"Bakery,Indian",150
mn59899,381622,fd669322,"Bakery,Indian",150
mn67923,452112,fd0,"Bakery,Pizzas",60
mn67923,452112,fd669322,"Bakery,Pizzas",60
mn69128,75774,fd0,"North Indian,Chinese",84
mn69128,75774,fd669322,"North Indian,Chinese",84
mn69201,75774,fd0,"North Indian,Chinese",84
mn69201,75774,fd669322,"North Indian,Chinese",84
mn71462,84614,fd0,"Beverages,Fast Food",119
mn71462,84614,fd669322,"Beverages,Fast Food",119
mn71580,91226,fd0,Beverages,80
mn71580,91226,fd669322,Beverages,80
mn73606,558581,fd0,"Chinese,Fast Food",69
mn73606,558581,fd669322,"Chinese,Fast Food",69
mn74644,73718,fd0,"Chinese,Desserts",90
mn74644,73718,fd669322,"Chinese,Desserts",90
mn75525,75401,fd0,"North Indian,Chinese",65
mn75525,75401,fd669322,"North Indian,Chinese",65
mn75718,301904,fd0,"Italian,Beverages",70
mn75718,301904,fd669322,"Italian,Beverages",70
mn84162,352457,fd0,"Indian,Continental",50
mn84162,352457,fd669322,"Indian,Continental",50
mn84585,322586,fd0,Italian,60
mn84585,322586,fd669322,Italian,60
mn85707,510962,fd0,"Fast Food,Pizzas",70
mn85707,510962,fd669322,"Fast Food,Pizzas",70
mn86604,82202,fd0,Italian,63
mn86604,82202,fd669322,Italian,63
mn86621,82202,fd0,Italian,63
mn86621,82202,fd669322,Italian,63
mn86807,136670,fd0,"Desserts,Sweets",65
mn86807,136670,fd669322,"Desserts,Sweets",65
mn89521,93961,fd0,Italian,58
mn89521,93961,fd669322,Italian,58
mn90195,483237,fd0,"Indian,Fast Food",55
mn90195,483237,fd669322,"Indian,Fast Food",55
mn90856,476843,fd0,"Chinese,South Indian",89
mn90856,476843,fd669322,"Chinese,South Indian",89
mn90985,570636,fd0,"Street Food,Snacks",55
mn90985,570636,fd669322,"Street Food,Snacks",55
mn94065,505383,fd0,"Beverages,Fast Food",125
mn94065,505383,fd669322,"Beverages,Fast Food",125
mn94303,489445,fd0,Fast Food,75
mn94303,489445,fd669322,Fast Food,75
mn94981,95337,fd0,"Maharashtrian,North Indian",55
mn94981,95337,fd669322,"Maharashtrian,North Indian",55
mn95726,556732,fd0,"Snacks,Fast Food",55
mn95726,556732,fd669322,"Snacks,Fast Food",55
mn96487,557067,fd0,"Snacks,Fast Food",55
mn96487,557067,fd669322,"Snacks,Fast Food",55
mn96599,556815,fd0,"Street Food,Fast Food",55
mn96599,556815,fd669322,"Street Food,Fast Food",55
mn101450,431256,fd0,"Bakery,Continental",90
mn101450,431256,fd669322,"Bakery,Continental",90
mn109587,409355,fd0,Indian,150
mn109587,409355,fd669322,Indian,150
mn110615,100010,fd0,"Pizzas,Pastas",175
mn110615,100010,fd669322,"Pizzas,Pastas",175
mn110721,100010,fd0,"Pizzas,Pastas",175
mn110721,100010,fd669322,"Pizzas,Pastas",175
mn115039,65412,fd0,Snacks,50
mn115039,65412,fd669322,Snacks,50
mn115519,36753,fd0,"Indian,Fast Food",75
mn115519,36753,fd669322,"Indian,Fast Food",75
mn117642,474005,fd0,"Fast Food,Beverages",60
mn117642,474005,fd669322,"Fast Food,Beverages",60
mn118842,464456,fd0,"American,Snacks",125
mn118842,464456,fd669322,"American,Snacks",125
mn122696,561905,fd0,"Italian,Fast Food",99
mn122696,561905,fd669322,"Italian,Fast Food",99
