order_date,sales_qty,sales_amount,currency,user_id,r_id
10-10-2017,100,41241,INR,49226,567335
08-05-2018,3,-1,INR,77359,531342
06-04-2018,1,875,INR,5321,158203
11-04-2018,1,583,INR,21343,187912
18-06-2018,6,7176,INR,75378,543530
20-11-2017,59,500,INR,34323,158204
22-11-2017,36,250,INR,33246,156588
23-11-2017,39,21412,INR,87420,244866
27-11-2017,35,19213,INR,31017,156602
28-11-2017,310,170185,INR,72391,158193
29-11-2017,184,101194,INR,91457,407249
30-11-2017,35,19213,INR,33851,156590
29-11-2017,17,9426,INR,27008,338749
19-12-2017,1,218,INR,47798,156601
07-08-2018,5,3093,INR,58443,156587
04-12-2017,58,30306,INR,32969,158192
29-06-2018,38,52319,INR,29585,394554
02-07-2018,93,126296,INR,29210,158195
03-07-2018,79,107500,INR,44025,257181
04-07-2018,1,273,INR,81729,530909
06-07-2018,3,3574,INR,55846,573649
13-07-2018,1,273,INR,56648,573656
07-06-2019,20,23403,INR,7018,420675
29-07-2019,81,76329,INR,29312,427610
01-08-2019,5,4542,INR,68553,435582
19-09-2019,18,16579,INR,5753,382204
27-09-2019,90,105301,INR,80146,460692
09-10-2017,1,185,INR,41882,368328
13-10-2017,1,556,INR,572,530878
27-10-2017,1,551,INR,53990,171675
03-11-2017,1,167,INR,22718,475283
06-11-2017,1,333,INR,40886,421155
10-11-2017,1,500,INR,90799,545273
16-11-2017,1,333,INR,59075,440811
17-11-2017,1,333,INR,79488,420586
27-11-2017,1,500,INR,9738,448046
04-12-2017,1,833,INR,61303,187921
08-12-2017,1,167,INR,70795,551512
11-12-2017,1,833,INR,25283,351387
18-12-2017,1,1000,INR,38951,432675
27-12-2017,2,1833,INR,63358,302868
28-12-2017,1,167,INR,23510,567664
05-01-2018,1,167,INR,55123,440878
08-01-2018,1,833,INR,76741,161396
22-01-2018,1,167,INR,26983,382249
21-02-2018,26,10657,INR,56760,161408
23-02-2018,1,167,INR,86455,432684
03-08-2018,1,157,INR,7541,459776
24-08-2018,1,315,INR,8337,459775
21-09-2018,1,630,INR,19898,420637
28-09-2018,1,315,INR,69665,420479
09-11-2018,1,157,INR,33769,427606
16-11-2018,1,472,INR,3237,531363
07-12-2018,1,157,INR,80649,156592
14-12-2018,1,157,INR,64737,373319
25-01-2019,1,315,INR,49747,508318
01-02-2019,1,157,INR,1056,407243
08-02-2019,1,472,INR,30521,187915
15-02-2019,1,472,INR,76940,461724
22-02-2019,1,315,INR,90825,156542
01-03-2019,1,472,INR,41955,161405
08-03-2019,1,315,INR,33728,462070
15-03-2019,1,157,INR,12452,224008
22-03-2019,1,315,INR,40286,165533
29-03-2019,1,315,INR,53063,225827
05-04-2019,1,315,INR,64787,242943
12-04-2019,1,787,INR,60994,186286
23-04-2019,1,630,INR,39802,166613
29-04-2019,1,472,INR,22088,500628
06-05-2019,1,315,INR,22337,186289
10-05-2019,1,787,INR,6861,165532
17-05-2019,1,1102,INR,20697,169281
03-06-2019,1,787,INR,85734,408059
07-06-2019,1,157,INR,5550,529171
17-06-2019,1,315,INR,47992,517814
24-06-2019,1,315,INR,49789,167432
28-06-2019,1,315,INR,94710,166971
05-07-2019,1,472,INR,4533,516171
12-07-2019,1,630,INR,97525,226299
19-07-2019,1,944,INR,38862,374706
26-07-2019,2,1417,INR,94083,473193
02-08-2019,2,1417,INR,70963,167412
09-08-2019,1,787,INR,1256,503717
16-08-2019,1,1259,INR,86135,165530
02-09-2019,2,1574,INR,56042,255925
03-09-2019,1,630,INR,24835,225921
06-09-2019,1,157,INR,86873,549242
13-09-2019,2,1417,INR,43518,321587
20-09-2019,1,630,INR,4139,439487
23-09-2019,200,66111,INR,60230,397980
27-09-2019,2,1884,INR,17407,304302
07-10-2019,1,944,INR,97062,533186
28-10-2019,7,2574,INR,22637,478348
08-11-2019,1,630,INR,89402,138890
15-11-2019,1,472,INR,22934,553999
22-11-2019,1,944,INR,94097,410839
29-11-2019,2,1417,INR,69318,137701
06-12-2019,1,1259,INR,30973,575990
13-12-2019,4,3773,INR,95622,410838
20-12-2019,1,315,INR,75375,397258
09-01-2020,1,630,INR,67309,133352
10-01-2020,1,472,INR,32001,150497
17-01-2020,2,2042,INR,27878,383716
07-02-2020,1,417,INR,44282,113948
14-02-2020,1,310,INR,72118,431552
28-02-2020,1,208,INR,7393,412357
06-03-2020,1,620,INR,60723,102037
13-03-2020,1,620,INR,8510,578207
03-04-2020,1,829,INR,35057,565260
14-04-2020,4,2694,INR,12548,101351
20-04-2020,1,102,INR,75828,480203
15-05-2020,2,528,INR,77161,102842
24-10-2017,1,380,INR,6335,138891
25-10-2017,1,560,INR,26962,143143
30-10-2017,1,560,INR,62482,558957
27-11-2017,1,1116,INR,49458,489011
11-12-2017,1,657,INR,55705,428013
12-12-2017,1,560,INR,3659,116273
19-12-2017,1,657,INR,15765,478936
12-02-2018,1,560,INR,98573,477627
19-10-2018,11,6218,INR,7042,437616
20-11-2017,7,2426,INR,33021,550910
24-11-2017,33,15278,INR,79414,342366
14-11-2018,3,3032,INR,5021,557008
22-05-2019,2,3194,INR,9751,97199
23-05-2019,1,912,INR,90157,134569
28-05-2019,1,1824,INR,81405,183009
29-05-2019,1,458,INR,22196,174586
31-05-2019,3,4444,INR,54311,494588
03-06-2019,1,458,INR,7130,102042
04-06-2019,1,458,INR,4820,431339
05-06-2019,1,1824,INR,51986,109550
05-06-2019,2,2667,INR,60272,477628
06-06-2019,14,19171,INR,81439,129550
07-06-2019,1,458,INR,24228,387674
11-06-2019,1,458,INR,85740,183165
12-06-2019,1,458,INR,99692,310273
14-06-2019,1,1370,INR,6099,293915
14-06-2019,2,2667,INR,20384,131676
17-06-2019,1,1333,INR,40087,109258
18-06-2019,1,597,INR,31820,483552
18-06-2019,7,8889,INR,66852,517939
19-06-2019,1,1778,INR,20461,154840
28-06-2019,7,9130,INR,64296,494001
23-04-2018,1,602,INR,96599,489362
03-05-2018,2,3227,INR,52610,510109
